#Drive Frequency/2pi [GHz]    Time [ns]                     P(0)                          P(16)                         P(32)                         P(64)                         
44.99                         0.0005                        0.999992                      1.99528e-34                   3.54522e-11                   0                             
44.99                         1.0005                        0.99983                       2.85202e-09                   2.91587e-08                   0                             
44.99                         2.0005                        0.999663                      4.58999e-08                   7.78835e-08                   0                             
44.99                         3.0005                        0.999712                      2.33388e-07                   8.17771e-08                   0                             
44.99                         4.0005                        0.999911                      7.36161e-07                   3.58044e-08                   0                             
44.99                         5.0005                        0.999994                      1.78636e-06                   6.5291e-10                    0                             
44.99                         6.0005                        0.999846                      3.68483e-06                   2.19698e-08                   0                             
44.99                         7.0005                        0.999664                      6.80889e-06                   6.97007e-08                   0                             
44.99                         8.0005                        0.999685                      1.15883e-05                   8.0339e-08                    0                             
44.99                         9.0005                        0.999874                      1.84741e-05                   4.15364e-08                   0                             
44.99                         10.0005                       0.999971                      2.7964e-05                    3.85697e-09                   0                             
44.99                         11.0005                       0.999832                      4.06601e-05                   1.07509e-08                   0                             
44.99                         12.0005                       0.999626                      5.72407e-05                   4.74091e-08                   0                             
44.99                         13.0005                       0.999606                      7.83477e-05                   7.0213e-08                    0                             
44.99                         14.0005                       0.999767                      0.000104566                   5.88277e-08                   0                             
44.99                         15.0005                       0.999861                      0.000136558                   2.54986e-08                   0                             
44.99                         16.0005                       0.999717                      0.000175143                   6.32234e-10                   0                             
44.99                         17.0005                       0.999475                      0.000221149                   2.12619e-08                   0                             
44.99                         18.0005                       0.999397                      0.000275247                   9.64716e-08                   0                             
44.99                         19.0005                       0.999512                      0.000338047                   1.65164e-07                   0                             
44.99                         20.0005                       0.999585                      0.00041029                    1.44665e-07                   0                             
44.99                         21.0005                       0.999419                      0.000492781                   7.08356e-08                   0                             
44.99                         22.0005                       0.999126                      0.000586182                   1.15412e-07                   0                             
44.99                         23.0005                       0.998972                      0.000691066                   3.56191e-07                   0                             
44.99                         24.0005                       0.99902                       0.000808145                   5.98317e-07                   0                             
44.99                         25.0005                       0.999051                      0.000938143                   6.0452e-07                    0                             
44.99                         26.0005                       0.998848                      0.00108137                    5.03687e-07                   0                             
44.99                         27.0005                       0.998491                      0.00123785                    7.15243e-07                   0                             
44.99                         28.0005                       0.998248                      0.00140817                    1.33346e-06                   0                             
44.99                         29.0005                       0.998213                      0.00159348                    1.87532e-06                   0                             
44.99                         30.0005                       0.998185                      0.00179431                    1.94195e-06                   0                             
44.99                         31.0005                       0.997935                      0.00200967                    1.93195e-06                   0                             
44.99                         32.0005                       0.997507                      0.00223851                    2.59905e-06                   0                             
44.99                         33.0005                       0.997168                      0.00248184                    3.88907e-06                   0                             
44.99                         34.0005                       0.997039                      0.00274185                    4.85968e-06                   0                             
44.99                         35.0005                       0.996946                      0.00301846                    5.06037e-06                   0                             
44.99                         36.0005                       0.996646                      0.00330841                    5.39845e-06                   0                             
44.99                         37.0005                       0.996151                      0.0036093                     6.93947e-06                   0                             
44.99                         38.0005                       0.995719                      0.0039234                     9.1995e-06                    0                             
44.99                         39.0005                       0.9955                        0.00425447                    1.06766e-05                   0                             
44.99                         40.0005                       0.995344                      0.00460125                    1.11321e-05                   0                             
44.99                         41.0005                       0.995002                      0.00495724                    1.22019e-05                   0                             
44.99                         42.0005                       0.994454                      0.00531883                    1.50613e-05                   0                             
44.99                         43.0005                       0.993944                      0.00569054                    1.84606e-05                   0                             
44.99                         44.0005                       0.993646                      0.00607805                    2.04095e-05                   0                             
44.99                         45.0005                       0.993439                      0.00647809                    2.12716e-05                   0                             
44.99                         46.0005                       0.993074                      0.00688044                    2.34956e-05                   0                             
44.99                         47.0005                       0.992497                      0.00728093                    2.79672e-05                   0                             
44.99                         48.0005                       0.991934                      0.00768713                    3.23992e-05                   0                             
44.99                         49.0005                       0.991582                      0.00810644                    3.46215e-05                   0                             
44.99                         50.0005                       0.99135                       0.00853291                    3.60216e-05                   0                             
44.99                         51.0005                       0.99099                       0.00895285                    3.97054e-05                   0                             
