#In this file we store the discrete energies_{z}(FLUX) in units of GHz
#'FLUX/2pi'              '~z{.4-} = (0,0,0)'      '~z{.4-} = (0,0,1)'      '~z{.4-} = (0,1,0)'      '~z{.4-} = (0,0,2)'      '~z{.4-} = (0,1,1)'      '~z{.4-} = (0,2,0)'      '~z{.4-} = (0,0,3)'      '~z{.4-} = (0,1,2)'      '~z{.4-} = (0,2,1)'      '~z{.4-} = (0,3,0)'      
0                        0                        4.19563                  5.19585                  8.07342                  9.39146                  10.0968                  11.6412                  13.2692                  14.2924                  14.7102                  
0.05                     0                        4.19563                  5.16575                  8.07342                  9.36136                  10.0364                  11.6412                  13.2391                  14.2319                  14.6192                  
0.1                      0                        4.19563                  5.07545                  8.07342                  9.27105                  9.85495                  11.6412                  13.1488                  14.0504                  14.3459                  
0.15                     0                        4.19563                  4.92499                  8.07342                  9.12057                  9.55261                  11.6412                  12.9984                  13.7479                  13.8904                  
0.2                      0                        4.19562                  4.71461                  8.07341                  8.91011                  9.1297                   11.6412                  12.7879                  13.2516                  13.326                   
0.25                     0                        4.19558                  4.44528                  8.07339                  8.58692                  8.64155                  11.6412                  12.4343                  12.5185                  12.7836                  
0.3                      0                        4.11966                  4.19588                  7.93208                  8.07331                  8.31576                  11.4443                  11.6411                  12.1269                  12.1944                  
0.35                     0                        3.74765                  4.19569                  7.1808                   7.94313                  8.07371                  10.3069                  11.3764                  11.6409                  11.8216                  
0.4                      0                        3.35523                  4.19567                  6.38571                  7.55087                  8.07351                  9.099                    10.5813                  11.4285                  11.6415                  
0.45                     0                        3.01479                  4.19567                  5.69099                  7.21043                  8.03626                  8.07349                  9.88663                  11.0882                  11.6413                  
